"SAMP,C,20","SDATA,N,19,5","ADATA,N,19,5","USE,N,19,5","SEX,C,10","AGE,C,10","UTM_X,N,19,11","UTM_Y,N,19,11"
PA087,1,1,1,,,115556.044021,3486272.88304
PA097,1,1,1,,,116870.543644,3489102.55056
PA098,1,1,1,,,116148.894117,3483420.50411
PN001,1,1,1,,,482000.018751,3700998.34463
PN002,1,1,1,,,296192.720405,4053069.38808
PN003,1,1,1,,,347990.948523,3990302.26593
PN004,1,1,1,,,431049.74714,3998099.74491
PN005,1,1,1,,,498461.953615,4013066.46126
PN006,1,1,1,,,319083.556347,3988585.77826
PN007,1,1,1,,,362239.882957,3955204.72246
PN008,1,1,1,,,266226.655138,3683064.68196
PN009,1,1,1,,,424069.50391,3959228.82812
PN010,1,1,1,,,335084.820429,3985030.07668
PN011,1,1,1,,,353068.379852,3994036.4576
PN012,1,1,1,,,336253.921015,4020947.27012
PN013,1,1,1,,,176298.419627,3898814.16817
PN014,1,1,1,,,442182.380054,4049792.71872
PN015,1,1,1,,,495432.203198,4016619.85888
PN016,1,1,1,M,A,161438.249036,3778680.71729
PN017,1,1,1,,,555140.22335,3947166.40683
PN018,1,1,1,,,540089.228225,4090021.12511
PN019,1,1,1,,,539034.100495,4084003.32132
PN020,1,1,1,,,576139.093691,4073767.81746
PN021,1,1,1,,,478557.47634,3999074.83866
PN022,1,1,1,,,490244.865261,4040789.9535
PN023,1,1,1,,,531921.098927,4063038.94104
PN024,1,1,1,,,542013.806425,4082262.24815
PN025,1,1,1,,,473111.72828,3977096.50938
PN026,1,1,1,,,506939.389546,3981405.44542
PN027,0,0,0,,,517990.918108,4059050.44983
PN028,1,1,1,,,489101.907866,4040959.26025
PN029,1,1,1,,,502055.886391,4051076.97968
PN030,1,1,1,,,546776.716294,4090201.58876
PN031,1,1,1,,,540045.736704,4075012.37593
PN032,1,1,1,,,538081.507753,4069026.35473
PN033,1,1,1,,,157213.825681,3859121.42442
PN034,1,1,1,,,258007.773568,3798068.82387
PN035,1,1,1,,,250159.179985,3800075.37182
PN036,1,1,1,,,268955.240483,3785064.02085
PN037,1,1,1,,,255061.439467,3784987.80146
PN038,1,1,1,,,245079.132673,3800049.91257
PN039,1,1,1,,,266081.97887,3800056.45504
PN040,1,1,1,,,268062.327494,3790197.81769
PN041,1,1,1,,,265119.767628,3795096.99669
PN042,1,1,1,,,256229.741915,3805066.48051
PN043,1,1,1,,,369813.041481,3835027.97378
PN044,1,1,1,,,367988.831029,3841590.7534
PN045,1,1,1,,,169294.54556,3775174.53035
PN046,1,1,1,,,137258.011821,3760024.32149
PN047,1,1,1,,,157372.990755,3775762.31485
PN048,1,1,1,,,227583.795227,3658520.6285
PN049,1,1,1,,,208834.862439,3733856.46664
PN050,1,1,1,,,303093.507027,3771021.08993
PN051,1,1,1,,,262007.838845,3730036.24504
PN052,1,1,1,,,304037.593942,3761043.53603
PN053,1,1,1,,,275441.171191,3736435.15462
PN054,1,1,1,,,279147.998358,3718497.89734
PN055,1,1,1,,,274971.378994,3733969.03812
PN056,1,1,1,,,359178.334358,3811220.1941
PN057,1,1,1,,,358321.460323,3589703.30739
PN058,1,1,1,,,265065.164551,3645197.31046
PN059,1,1,1,,,172258.367514,3616647.64608
PN060,1,1,1,,,239087.640747,3535059.65502
PN061,1,1,1,,,533037.392652,3560000.54437
PN062,1,1,1,,,438140.281153,3748089.23615
PN063,1,1,1,,,465016.371461,3696156.65369
PN064,1,1,1,,,482911.632235,3715450.70406
PN065,1,1,1,,,442149.174165,3753887.19056
PN066,0,0,0,,,632998.99166,3867297.50752
PN067,0,0,0,,,599184.838854,3998073.92573
PN068,0,0,0,,,579224.570231,3890774.97008
PN069,1,1,1,,,513254.054533,3913217.25115
PN070,1,1,1,,,536148.80713,3948046.65191
PN071,1,1,1,,,440230.875778,3920011.69195
PN072,1,1,1,,,435038.911766,3995015.61272
PN073,1,1,1,,,441189.134488,3986010.47227
PN074,1,1,1,,,451872.262133,3956437.07857
PN075,1,1,1,,,457333.267678,3935837.68829
PN076,1,1,1,,,465623.984862,3992360.52119
PN077,1,1,1,,,570007.6003,3968070.64255
PN078,1,1,1,,,459096.076741,4020732.28102
